Exposure started time stamp,Exposure ended time stamp,Wavelength,Intensity
3849.4,5003849.4,414.82169228227747,2
3849.4,5003849.4,415.25090418320531,-3
3849.4,5003849.4,415.68010857356438,-13
3849.4,5003849.4,416.10930544753882,-15
3849.4,5003849.4,416.53849479931228,-11
3849.4,5003849.4,416.96767662307013,-15
3849.4,5003849.4,417.39685091299629,-17
3849.4,5003849.4,417.82601766327571,-11
3849.4,5003849.4,418.25517686809422,2
3849.4,5003849.4,418.68432852163721,-12
3849.4,5003849.4,419.1134726180901,-3
3849.4,5003849.4,419.54260915163894,-5
3849.4,5003849.4,419.97173811647104,-5
3849.4,5003849.4,420.40085950677138,-17
3849.4,5003849.4,420.82997331672868,-14
3849.4,5003849.4,421.25907954052911,-10
3849.4,5003849.4,421.68817817236027,-10
3849.4,5003849.4,422.11726920640979,-22
3849.4,5003849.4,422.54635263686635,-10
3849.4,5003849.4,422.97542845791719,-12
3849.4,5003849.4,423.40449666375218,-6
3849.4,5003849.4,423.83355724855932,-8
3849.4,5003849.4,424.2626102065276,-15
3849.4,5003849.4,424.69165553184735,-17
3849.4,5003849.4,425.12069321870723,-22
3849.4,5003849.4,425.54972326129814,-9
3849.4,5003849.4,425.97874565381039,-17
3849.4,5003849.4,426.40776039043334,-15
3849.4,5003849.4,426.83676746535878,-29
3849.4,5003849.4,427.26576687277827,-4
3849.4,5003849.4,427.69475860688249,-17
3849.4,5003849.4,428.12374266186305,-18
3849.4,5003849.4,428.552719031912,-10
3849.4,5003849.4,428.98168771122221,-17
3849.4,5003849.4,429.41064869398565,-10
3849.4,5003849.4,429.83960197439552,-26
3849.4,5003849.4,430.26854754664464,-15
3849.4,5003849.4,430.69748540492651,-16
3849.4,5003849.4,431.12641554343509,-13
3849.4,5003849.4,431.55533795636416,0
3849.4,5003849.4,431.98425263790773,-21
3849.4,5003849.4,432.41315958226079,-26
3849.4,5003849.4,432.84205878361831,-14
3849.4,5003849.4,433.2709502361746,-7
3849.4,5003849.4,433.69983393412622,-3
3849.4,5003849.4,434.12870987166804,-13
3849.4,5003849.4,434.55757804299628,-2
3849.4,5003849.4,434.98643844230747,-12
3849.4,5003849.4,435.415291063798,-16
3849.4,5003849.4,435.8441359016648,-7
3849.4,5003849.4,436.2729729501051,-17
3849.4,5003849.4,436.70180220331645,-1
3849.4,5003849.4,437.13062365549655,-1
3849.4,5003849.4,437.55943730084294,-9
3849.4,5003849.4,437.98824313355505,-4
3849.4,5003849.4,438.41704114783056,-23
3849.4,5003849.4,438.84583133786884,-8
3849.4,5003849.4,439.27461369786909,0
3849.4,5003849.4,439.70338822203064,3
3849.4,5003849.4,440.13215490455337,-12
3849.4,5003849.4,440.56091373963824,-19
3849.4,5003849.4,440.98966472148396,2
3849.4,5003849.4,441.41840784429252,-14
3849.4,5003849.4,441.84714310226525,1
3849.4,5003849.4,442.27587048960237,-12
3849.4,5003849.4,442.70459000050556,-20
3849.4,5003849.4,443.13330162917759,-13
3849.4,5003849.4,443.5620053698201,-1
3849.4,5003849.4,443.99070121663556,-6
3849.4,5003849.4,444.41938916382708,-8
3849.4,5003849.4,444.84806920559708,-20
3849.4,5003849.4,445.27674133614988,-16
3849.4,5003849.4,445.70540554968863,-7
3849.4,5003849.4,446.13406184041753,-19
3849.4,5003849.4,446.56271020254087,-14
3849.4,5003849.4,446.9913506302629,-6
3849.4,5003849.4,447.41998311778872,-8
3849.4,5003849.4,447.84860765932359,-12
3849.4,5003849.4,448.27722424907364,-14
3849.4,5003849.4,448.70583288124362,-7
3849.4,5003849.4,449.13443355004023,-5
3849.4,5003849.4,449.56302624967009,-6
3849.4,5003849.4,449.99161097433927,-8
3849.4,5003849.4,450.42018771825531,-3
3849.4,5003849.4,450.84875647562512,-13
3849.4,5003849.4,451.27731724065666,-1
3849.4,5003849.4,451.70587000755825,-9
3849.4,5003849.4,452.13441477053755,-9
3849.4,5003849.4,452.56295152380318,-8
3849.4,5003849.4,452.99148026156422,-16
3849.4,5003849.4,453.42000097802986,-1
3849.4,5003849.4,453.84851366740941,-1
3849.4,5003849.4,454.27701832391313,-4
3849.4,5003849.4,454.70551494175004,-1
3849.4,5003849.4,455.13400351513155,-16
3849.4,5003849.4,455.56248403826811,8
3849.4,5003849.4,455.99095650537066,-17
3849.4,5003849.4,456.41942091065056,-7
3849.4,5003849.4,456.84787724832017,-6
3849.4,5003849.4,457.27632551259,1
3849.4,5003849.4,457.70476569767334,3
3849.4,5003849.4,458.13319779778243,-3
3849.4,5003849.4,458.56162180713056,5
3849.4,5003849.4,458.99003771993074,-7
3849.4,5003849.4,459.41844553039624,-4
3849.4,5003849.4,459.84684523274126,-10
3849.4,5003849.4,460.27523682117936,17
3849.4,5003849.4,460.70362028992582,1
3849.4,5003849.4,461.131995633195,3
3849.4,5003849.4,461.56036284520178,4
3849.4,5003849.4,461.98872192016205,-4
3849.4,5003849.4,462.41707285229143,3
3849.4,5003849.4,462.84541563580569,-14
3849.4,5003849.4,463.27375026492092,-2
3849.4,5003849.4,463.70207673385477,-1
3849.4,5003849.4,464.1303950368233,9
3849.4,5003849.4,464.55870516804447,-2
3849.4,5003849.4,464.98700712173547,5
3849.4,5003849.4,465.41530089211471,-6
3849.4,5003849.4,465.84358647339974,12
3849.4,5003849.4,466.27186385980997,-3
3849.4,5003849.4,466.70013304556375,15
3849.4,5003849.4,467.12839402488049,8
3849.4,5003849.4,467.55664679197969,3
3849.4,5003849.4,467.98489134108115,10
3849.4,5003849.4,468.41312766640539,-3
3849.4,5003849.4,468.84135576217255,1
3849.4,5003849.4,469.26957562260361,-2
3849.4,5003849.4,469.69778724191985,2
3849.4,5003849.4,470.12599061434219,6
3849.4,5003849.4,470.55418573409338,3
3849.4,5003849.4,470.98237259539434,7
3849.4,5003849.4,471.41055119246863,8
3849.4,5003849.4,471.83872151953892,5
3849.4,5003849.4,472.2668835708277,-13
3849.4,5003849.4,472.69503734055849,12
3849.4,5003849.4,473.12318282295541,-1
3849.4,5003849.4,473.55132001224212,-5
3849.4,5003849.4,473.97944890264353,-7
3849.4,5003849.4,474.4075694883839,-8
3849.4,5003849.4,474.83568176368863,15
3849.4,5003849.4,475.263785722783,-7
3849.4,5003849.4,475.69188135989242,2
3849.4,5003849.4,476.11996866924341,-1
3849.4,5003849.4,476.54804764506196,-6
3849.4,5003849.4,476.976118281575,11
3849.4,5003849.4,477.40418057300934,1
3849.4,5003849.4,477.83223451359254,6
3849.4,5003849.4,478.2602800975522,-2
3849.4,5003849.4,478.68831731911666,10
3849.4,5003849.4,479.11634617251343,6
3849.4,5003849.4,479.54436665197164,4
3849.4,5003849.4,479.97237875172112,-5
3849.4,5003849.4,480.40038246598971,-4
3849.4,5003849.4,480.82837778900807,-3
3849.4,5003849.4,481.25636471500627,1
3849.4,5003849.4,481.68434323821418,1
3849.4,5003849.4,482.11231335286266,-17
3849.4,5003849.4,482.54027505318265,-6
3849.4,5003849.4,482.96822833340582,-5
3849.4,5003849.4,483.39617318776305,0
3849.4,5003849.4,483.82410961048748,-2
3849.4,5003849.4,484.25203759581041,-7
3849.4,5003849.4,484.67995713796529,-2
